k,TB_CF,TB_CF_err,TB_D,TB_D_err,TS_CF,TS_CF_err,TS_D,TS_D_err,P_CF,P_CF_err,P_D,P_D_err,R_CF,R_CF_err,R_D,R_D_err
1,0.888280394304491,0.006020367651675,0.937203358890106,0.004636266624767,85.5797736400146,0.350010672042335,87.5337714494341,0.295733478065228,0.670682730923695,0.008981504519555,0.661190215407083,0.009045330901842,0.220597077419041,0.003238552614011,0.564604017859494,0.005328834861907
2,0.91266506602641,0.005025011153231,0.953781512605042,0.003911551832989,86.4251200480192,0.322604612866279,88.1104441776711,0.277885771482204,0.691476590636255,0.008296213523218,0.681272509003601,0.008496651945083,0.155696155045954,0.002112627376264,0.428754503629358,0.003039861541617
3,0.915488810365135,0.005053264539546,0.964369846878681,0.003486510576122,86.5122202591284,0.338854659813536,88.9054770318021,0.263345154142043,0.714958775029446,0.008122686061667,0.689340400471143,0.008536944021638,0.124611991363757,0.001695559826649,0.357595822193374,0.002311359495273
4,0.912721893491124,0.005161615807953,0.96094674556213,0.003544741254303,86.4998520710059,0.373013970481856,88.9099112426036,0.280997353174397,0.739644970414201,0.007863292302967,0.713905325443787,0.008510044940851,0.104762766005316,0.00142317235477,0.31271247087826,0.001936306416474
5,0.906811145510836,0.005583531579279,0.951083591331269,0.004263570586057,86.1609907120743,0.421281147092802,88.6013931888545,0.334032657637215,0.761609907120743,0.008009151546809,0.741795665634675,0.008965433499552,0.089916365740969,0.001286028537623,0.276519471374032,0.001823077969922
6,0.907676348547718,0.00614433913151,0.952973720608575,0.004841351296953,86.2460235131397,0.47279907840807,88.9005878284924,0.387400558005761,0.771092669432918,0.008399032224755,0.752420470262794,0.009316256035641,0.079087397235264,0.001206657349018,0.25228514806692,0.001787539110608
7,0.912946428571428,0.006248903675537,0.953497023809524,0.004861350141154,86.6951264880952,0.483239491161499,89.1977306547619,0.398733884174079,0.79985119047619,0.008610036495615,0.77641369047619,0.009558126358184,0.072162464348404,0.001164750253271,0.2314291371182,0.001755024564776
8,0.911262798634812,0.006734560356782,0.952645051194539,0.005109460456632,86.6862201365188,0.52289565947646,89.3543088737201,0.434801653241313,0.8080204778157,0.008973087093401,0.794368600682594,0.009811270267126,0.066430133150133,0.001108820903595,0.217034677594962,0.001646644781074
9,0.913475177304965,0.007224722120181,0.949408983451537,0.00557181454361,87.154609929078,0.554368107823194,89.538061465721,0.457557624624755,0.825531914893617,0.009376316377607,0.817021276595744,0.010655055400039,0.061030336705138,0.001083202702239,0.202807039037355,0.001569012944923
10,0.922598870056497,0.007870298181765,0.95819209039548,0.005751837731734,87.5449152542373,0.615632820259039,90.0384180790961,0.487861574821334,0.832768361581921,0.00992709606195,0.823728813559322,0.011160711098965,0.05691672516751,0.00113482293055,0.191769135701305,0.001577371644815
11,0.919676214196762,0.008406414949123,0.950186799501868,0.006557940773994,87.0993150684932,0.66545457294248,89.4492528019925,0.557682659789671,0.861145703611457,0.010387436254933,0.851805728518057,0.011419259192189,0.053021589065603,0.001068749032757,0.18050502994933,0.001594899276006
12,0.915178571428571,0.010515784483572,0.949404761904762,0.008074400023014,86.4464285714286,0.836607485763632,89.1257440476191,0.695557676088879,0.872023809523809,0.012503063913276,0.860119047619047,0.012737022691869,0.050017720438583,0.001084798598952,0.172211570918413,0.001756084998927
13,0.912087912087912,0.011701987709213,0.949050949050949,0.008120775052083,86.2437562437563,0.927269234744881,89.1158841158841,0.727726282849541,0.863136863136863,0.014122429669875,0.859140859140859,0.014178110381317,0.045430362835911,0.001139157092265,0.165569665489486,0.002027514878207
14,0.905952380952381,0.01331353742033,0.938095238095238,0.010665974842087,85.8142857142857,1.04637743761885,88.4160714285714,0.90192123339433,0.867857142857143,0.014977692009349,0.870238095238095,0.015880664689261,0.042933778508336,0.001190627437852,0.158962880755667,0.002212475074495
15,0.903875968992248,0.016044469637159,0.944186046511628,0.013482048559514,85.6124031007752,1.1691651900434,88.8286821705426,1.06631856942086,0.851162790697674,0.016577793211727,0.849612403100775,0.016165293484902,0.041334851139888,0.001483035286122,0.153337714033335,0.002314306348384
16,0.884868421052632,0.017722610589475,0.932565789473684,0.016564748288613,84.484375,1.32816892865181,88.2393092105263,1.30563547526092,0.875,0.017481701467592,0.876644736842105,0.016749099335616,0.040984277253923,0.001392317885586,0.146899044357872,0.00250719127335
17,0.884381338742394,0.018802771856045,0.933062880324544,0.017448935632947,84.9290060851927,1.3693970424085,88.6105476673428,1.27736937603209,0.876267748478702,0.016344476102837,0.884381338742394,0.015304467504381,0.038678016375844,0.001502348373659,0.141931955753822,0.002946453390757
18,0.89957264957265,0.014460619073238,0.935897435897436,0.012962180246242,85.7905982905983,1.07477026716523,88.4839743589744,0.996135902224289,0.905982905982906,0.01967669133884,0.914529914529915,0.016373712872366,0.037300439086123,0.001542687088585,0.136076782085196,0.002994335525476
19,0.903047091412742,0.016722779571814,0.944598337950138,0.01477377654663,85.909972299169,1.3198695065061,88.6634349030471,1.15733775137707,0.908587257617728,0.021986853000537,0.919667590027701,0.016773686172285,0.035963887239834,0.001591365219033,0.13250028273253,0.00275025474444
20,0.907142857142857,0.018048426050172,0.946428571428571,0.01695524629034,86.1964285714286,1.33243264973921,88.8339285714286,1.29245115734136,0.910714285714286,0.028793777672495,0.928571428571429,0.017156587907688,0.032845530904322,0.00161970919375,0.131879885715437,0.002729444371969
21,0.909090909090909,0.021731429260625,0.943722943722944,0.022073677548021,86.1623376623377,1.61430684256761,88.6341991341991,1.65476353273853,0.922077922077922,0.032279397198801,0.952380952380952,0.018161192176107,0.032887280286007,0.001908307674521,0.128520526422625,0.002810372082315
22,0.922077922077922,0.023710933225332,0.961038961038961,0.020873702945872,87.3993506493507,1.9673136834912,90.1655844155844,1.72217945153943,0.928571428571429,0.040724865199625,0.954545454545454,0.024296476537493,0.029750853981104,0.002495103901456,0.125589532003475,0.002458836235734
23,0.898550724637681,0.057971014492754,0.985507246376812,0.014492753623188,86.4492753623188,4.51730086903196,92.3695652173913,0.990741640443985,0.855072463768116,0.072463768115942,0.927536231884058,0.038344221899487,0.025045647315593,0.001236108519503,0.124045903140414,0.00073739510476
24,0.875,0.083333333333333,0.979166666666667,0.020833333333333,84.2916666666667,6.22916666666666,91.90625,2.67708333333333,0.833333333333333,0,0.895833333333333,0.020833333333333,0.026280126282033,0.001564809866733,0.121027445831101,0.000851332063037
25,0.88,0.08,0.96,0.04,84.57,6.13,90.33,3.97,0.86,0.02,0.92,0.04,0.027640632591692,0.003390199483448,0.117426699697296,0.000333573465119
26,0.865384615384615,0.096153846153846,0.923076923076923,0.038461538461539,83.5769230769231,7.48076923076923,87.4326923076923,3.91346153846153,0.884615384615385,0.038461538461539,0.923076923076923,0.038461538461539,0.027667292956351,0.004071863741655,0.114559118936205,0.000144652561979
27,0.87037037037037,0.092592592592593,0.925925925925926,0.037037037037037,84.1851851851852,7.2037037037037,87.7592592592593,3.62962962962963,0.925925925925926,0.037037037037037,0.925925925925926,0.037037037037037,0.027348255091473,0.003643013955575,0.111031482869862,0.000845298361919
28,0.875,0.089285714285714,0.910714285714286,0.053571428571429,84.125,6.76785714285714,86.3660714285714,4.52678571428571,0.964285714285714,0.035714285714286,0.964285714285714,0.035714285714286,0.027932008201296,0.005072774085771,0.107779092153296,0.000827752227348
29,0.793103448275862,,0.827586206896552,,77.8793103448276,,79.2758620689655,,0.931034482758621,,0.931034482758621,,0.02270824416298,,0.105987459485531,
30,0.8,,0.833333333333333,,78.6166666666667,,79.7166666666667,,0.966666666666667,,0.966666666666667,,0.021968524734187,,0.102526313792766,
31,0.806451612903226,,0.806451612903226,,79.0645161290323,,79.0645161290323,,1,,1,,0.021262609143862,,0.099266461918249,
